,variable,rating,story,premise.variable,premise.value,actual.value
1,A,0,1,A,F,T
2,B,0.58,1,A,F,T
3,A,0.14,2,B,F,T
4,B,0,2,B,F,T
5,C,0,2,B,F,T
6,A,0,3,A,F,T
7,B,0.58,3,A,F,T
8,C,0.58,3,A,F,F
9,A,0.63,4,C,T,F
10,B,0.63,4,C,T,F
11,C,1,4,C,T,F
12,D,1,4,C,T,F
13,A,0,5,C,F,T
14,B,0.43,5,C,F,T
15,C,0,5,C,F,T
16,D,0,5,C,F,T
17,A,0.73,6,B,T,F
18,B,1,6,B,T,F
19,C,0.42,6,B,T,T
