"story","explanandumVariable","explanansVariable","utterance","low","high","mean_response"
"story1","A","A","A because A",0.809108333333333,0.911005555555556,0.862555555555556
"story1","A","B","A because B",0.109661111111111,0.213336111111111,0.158777777777778
"story1","B","A","B because A",0.0851111111111111,0.178791666666667,0.129777777777778
"story1","B","B","B because B",0.818888888888889,0.919222222222222,0.870333333333333
"story2","A","A","A because A",0.803330555555556,0.90245,0.855
"story2","A","B","A because B",0.206330555555556,0.359594444444444,0.281444444444444
"story2","A","C","A because C",0.140880555555556,0.264338888888889,0.201111111111111
"story2","B","A","B because A",0.798222222222222,0.896263888888889,0.846777777777778
"story2","B","B","B because B",0.435872222222222,0.606672222222222,0.523222222222222
"story2","B","C","B because C",0.191997222222222,0.323233333333333,0.258
"story2","C","A","C because A",0.477322222222222,0.633597222222222,0.555777777777778
"story2","C","B","C because B",0.8541,0.924783333333333,0.892888888888889
"story2","C","C","C because C",0.415983333333333,0.589808333333333,0.502444444444444
"story3","A","A","A because A",0.761647222222222,0.875344444444444,0.820222222222222
"story3","A","B","A because B",0.189661111111111,0.321336111111111,0.254111111111111
"story3","A","C","A because ! C",0.247205555555556,0.388138888888889,0.313555555555556
"story3","B","A","B because A",0.236666666666667,0.362113888888889,0.296
"story3","B","B","B because B",0.664094444444444,0.796669444444444,0.733777777777778
"story3","B","C","B because ! C",0.334658333333333,0.483130555555556,0.406777777777778
"story3","C","A","! C because A",0.504644444444444,0.650675,0.578777777777778
"story3","C","B","! C because B",0.588333333333333,0.709119444444444,0.649333333333333
"story3","C","C","! C because ! C",0.448208333333333,0.604002777777778,0.527333333333333
"story4","A","A","! A because ! A",0.735997222222222,0.8679,0.804
"story4","A","B","! A because ! B",0.134219444444444,0.235891666666667,0.183888888888889
"story4","A","C","! A because ! C",0.173438888888889,0.305261111111111,0.238666666666667
"story4","A","D","! A because ! D",0.106202777777778,0.221236111111111,0.162666666666667
"story4","B","A","! B because ! A",0.153530555555556,0.267555555555556,0.208777777777778
"story4","B","B","! B because ! B",0.7213,0.854472222222222,0.788555555555556
"story4","B","C","! B because ! C",0.178441666666667,0.303602777777778,0.238222222222222
"story4","B","D","! B because ! D",0.135330555555556,0.249336111111111,0.187444444444444
"story4","C","A","! C because ! A",0.635097222222222,0.757669444444445,0.701333333333333
"story4","C","B","! C because ! B",0.644330555555556,0.762463888888889,0.704555555555556
"story4","C","C","! C because ! C",0.442105555555556,0.61725,0.532555555555556
"story4","C","D","! C because ! D",0.225647222222222,0.375777777777778,0.301
"story4","D","A","! D because ! A",0.493994444444444,0.635672222222222,0.567333333333333
"story4","D","B","! D because ! B",0.471097222222222,0.612677777777778,0.545111111111111
"story4","D","C","! D because ! C",0.813330555555556,0.90545,0.859555555555556
"story4","D","D","! D because ! D",0.435988888888889,0.620447222222222,0.528777777777778
"story5","A","A","A because A",0.763313888888889,0.882794444444444,0.827555555555556
"story5","A","B","A because B",0.133886111111111,0.242669444444444,0.186
"story5","A","C","A because C",0.173886111111111,0.312555555555556,0.245777777777778
"story5","A","D","A because D",0.143330555555556,0.272336111111111,0.203333333333333
"story5","B","A","B because A",0.128552777777778,0.234558333333333,0.178444444444444
"story5","B","B","B because B",0.720777777777778,0.846813888888889,0.788777777777778
"story5","B","C","B because C",0.205655555555556,0.3505,0.276111111111111
"story5","B","D","B because D",0.157888888888889,0.279672222222222,0.219888888888889
"story5","C","A","C because A",0.760422222222222,0.867005555555556,0.817888888888889
"story5","C","B","C because B",0.679097222222222,0.774225,0.726666666666667
"story5","C","C","C because C",0.403986111111111,0.574563888888889,0.489666666666667
"story5","C","D","C because D",0.252216666666667,0.407452777777778,0.331555555555556
"story5","D","A","D because A",0.547763888888889,0.691,0.623
"story5","D","B","D because B",0.461983333333333,0.59735,0.530888888888889
"story5","D","C","D because C",0.854438888888889,0.932444444444444,0.895888888888889
"story5","D","D","D because D",0.422222222222222,0.599033333333333,0.509222222222222
"story6","A","A","! A because ! A",0.745880555555556,0.873780555555556,0.814333333333333
"story6","A","B","! A because ! B",0.266219444444444,0.420902777777778,0.343111111111111
"story6","A","C","! A because C",0.162433333333333,0.287897222222222,0.222333333333333
"story6","B","A","! B because ! A",0.648208333333333,0.769827777777778,0.708444444444444
"story6","B","B","! B because ! B",0.478,0.645119444444444,0.562
"story6","B","C","! B because C",0.296883333333333,0.453258333333333,0.372666666666667
"story6","C","A","C because ! A",0.301436111111111,0.443897222222222,0.369
"story6","C","B","C because ! B",0.593963888888889,0.721025,0.663666666666667
"story6","C","C","C because C",0.444980555555556,0.615672222222222,0.531222222222222
