"explanandum","video","response","language","enjoyment","gender","age","problems","comments","asses","fairprice","education","screenW","screenH","OS","Browser","time_in_minutes","workerid"
"the parents hugged the girl","the-gift","she gave them a cake","English","0","Female","22","No","","Yes","Yes","1",1920,1080,"Windows","Chrome",3.01083333333333,8
"the man looked at his time piece","destiny","he wanted to know what time it was.","English","0","Female","22","No","","Yes","Yes","1",1920,1080,"Windows","Chrome",3.01083333333333,8
"the girl took off her glove","alma","she was trying to grab something","English","0","Female","22","No","","Yes","Yes","1",1920,1080,"Windows","Chrome",3.01083333333333,8
"the girl held her hair above her head","bumpy-ride","she wanted to seem taller than she really was","English","0","Female","22","No","","Yes","Yes","1",1920,1080,"Windows","Chrome",3.01083333333333,8
"the man pulled the carrot out of the ground","carrot-crazy","he wanted to give it to the rabbit","English","0","Female","22","No","","Yes","Yes","1",1920,1080,"Windows","Chrome",3.01083333333333,8
"the man looked at his time piece","destiny","he is late to work","english","1","Male","24","none","great hit","Yes","yes","1",1920,1080,"Windows","Chrome",2.81888333333333,9
"the girl held her hair above her head","bumpy-ride","it would make her taller","english","1","Male","24","none","great hit","Yes","yes","1",1920,1080,"Windows","Chrome",2.81888333333333,9
"the girl took off her glove","alma","it its easier to reach","english","1","Male","24","none","great hit","Yes","yes","1",1920,1080,"Windows","Chrome",2.81888333333333,9
"the man pulled the carrot out of the ground","carrot-crazy","he wanted to feed the bunny","english","1","Male","24","none","great hit","Yes","yes","1",1920,1080,"Windows","Chrome",2.81888333333333,9
"the parents hugged the girl","the-gift","she was happy","english","1","Male","24","none","great hit","Yes","yes","1",1920,1080,"Windows","Chrome",2.81888333333333,9
