"story.number","actual.world","explanation","model"
2,". > .","A because B",0.00438618952628641
2,"> > .","A because B",0.0298693923472156
2,"< > .","A because B",0.0600968832185193
2,". > .","B because A",0.00438618952628641
2,"> > .","B because A",0.0602731313170284
2,"< > .","B because A",0.029782049554668
2,"> . .","C because B",0.00229206952752791
2,"> > .","C because B",0.0515407229073454
2,"> < .","C because B",0.0326190434183118
2,"> . .","B because C",0.00898203171803658
2,"> > .","B because C",0.0441439445062712
2,"> < .","B because C",0.0127286206731775
2,"> > .","C because A",0.058943629715976
2,". . .","C because A",0.00487320766103477
2,". > .","C because A",0.00624179466109162
2,"> . .","C because A",0.00432356515730323
2,"> . <","C because A",0.0291487035003395
2,". > <","C because A",0.0315061857933194
2,". . <","C because A",0.0353705734960684
2,". > >","C because A",0.00895709191102615
2,"> . >","C because A",0.0599661312801068
2,". . >","C because A",0.07174326793083
2,"> > .","A because C",0.0170809431949004
2,". . .","A because C",0.00553192984520866
2,". > .","A because C",0.00287003466698157
2,"> . .","A because C",0.0049079909568869
2,"> . <","A because C",0.0667695355371337
2,". > <","A because C",0.0662826190251096
2,". . <","A because C",0.0810216743940968
2,". > >","A because C",0.0413600799330943
2,"> . >","A because C",0.0337341995597896
2,". . >","A because C",0.0403594773547263
2,". < .","C because B",0.0312809441979473
2,". < .","B because C",0.100193589819417
