"story.number","actual.world","explanation","model"
2,". > .","A because B",0.0279160198284807
2,"> > .","A because B",0.0541506784806882
2,"< > .","A because B",0.0686806527267614
2,". > .","B because A",0.0279159607194935
2,"> > .","B because A",0.0686805134016795
2,"< > .","B because A",0.0541505669171919
2,"> . .","C because B",0.0262956848510291
2,"> > .","C because B",0.0665405678559771
2,"> < .","C because B",0.0534007275894311
2,"> . .","B because C",0.0353541952509074
2,"> > .","B because C",0.057499361486644
2,"> < .","B because C",0.0353541952509001
2,"> > .","C because A",0.0686860124701045
2,". . .","C because A",0.0279182937198968
2,". > .","C because A",0.0353689227755608
2,"> . .","C because A",0.0279182937198922
2,"> . <","C because A",0.0541549702596099
2,". > <","C because A",0.0575227639430241
2,". . <","C because A",0.0541549702595984
2,". > >","C because A",0.0353689227755499
2,"> . >","C because A",0.068686012470105
2,". . >","C because A",0.068686012470096
2,"> > .","A because C",0.0452684958104121
2,". . .","A because C",0.0280704288515101
2,". > .","A because C",0.0273295443106555
2,"> . .","A because C",0.0280704288515074
2,"> . <","A because C",0.0690445239460205
2,". > <","A because C",0.0690445239460205
2,". . <","A because C",0.0690445239460116
2,". > >","A because C",0.0554395913540829
2,"> . >","A because C",0.0544420696760463
2,". . >","A because C",0.054442069676037
2,". < .","C because B",0.0524378544810065
2,". < .","B because C",0.0686583992310614
