"story.number","actual.world","explanation","model"
2,". > .","A because B",0.0379996213893012
2,"> > .","A because B",0.0464490857308184
2,"< > .","A because B",0.0496594907703
2,". > .","B because A",0.0379996213893012
2,"> > .","B because A",0.0496594907703
2,"< > .","B because A",0.0464490857308184
2,"> . .","C because B",0.0358723204092867
2,"> > .","C because B",0.049345080152683
2,"> < .","C because B",0.0461709143755252
2,"> . .","B because C",0.0409022362221041
2,"> > .","B because C",0.0486175142064646
2,"> < .","B because C",0.0421940332129648
2,"> > .","C because A",0.0497859433558149
2,". . .","C because A",0.0380975736109932
2,". > .","C because A",0.0394858442127991
2,"> . .","C because A",0.0380975736109928
2,"> . <","C because A",0.0465677639450294
2,". > <","C because A",0.04694702976667
2,". . <","C because A",0.0465677639450289
2,". > >","C because A",0.0407348078417371
2,"> . >","C because A",0.0497859433558149
2,". . >","C because A",0.0497859433558144
2,"> > .","A because C",0.0442455690825891
2,". . .","A because C",0.0385675392601836
2,". > .","A because C",0.0366448156670176
2,"> . .","A because C",0.0385675392601835
2,"> . <","A because C",0.0503925412180705
2,". > <","A because C",0.0503925412180705
2,". . <","A because C",0.0503925412180699
2,". > >","A because C",0.0471543387073007
2,"> . >","A because C",0.0471370962432731
2,". . >","A because C",0.0471370962432726
2,". < .","C because B",0.0461540140923257
2,". < .","B because C",0.0515519788881343
