"story.number","actual.world","explanation","model"
2,". > .","A because B",0.00406110625951875
2,"> > .","A because B",0.801716409320482
2,"< > .","A because B",0.980712789909459
2,". > .","B because A",0.00404951309246405
2,"> > .","B because A",0.980658420606317
2,"< > .","B because A",0.801259713879627
2,"> . .","C because B",0.00177695222812995
2,"> > .","C because B",0.96691703517353
2,"> < .","C because B",0.737968501493517
2,"> . .","B because C",0.0344370101661316
2,"> > .","B because C",0.853489017177263
2,"> < .","B because C",0.0344370101661251
2,"> > .","C because A",0.979924055906547
2,". . .","C because A",0.00389905199890917
2,". > .","C because A",0.0430800404958181
2,"> . .","C because A",0.00389905199890515
2,"> . <","C because A",0.79513684124541
2,". > <","C because A",0.880287107483139
2,". . <","C because A",0.795136841245271
2,". > >","C because A",0.0430800404957681
2,"> . >","C because A",0.979924055906547
2,". . >","C because A",0.979924055906547
2,"> > .","A because C",0.338426714102039
2,". . .","A because C",0.00358361999597684
2,". > .","A because C",0.0027240844212268
2,"> . .","A because C",0.00358361999597596
2,"> . <","A because C",0.97818873785318
2,". > <","A because C",0.97818873785318
2,". . <","A because C",0.97818873785318
2,". > >","A because C",0.812085476742339
2,"> . >","A because C",0.780998626180368
2,". . >","A because C",0.78099862618027
2,". < .","C because B",0.699162598191115
2,". < .","B because C",0.974791276538199
