"story.number","actual.world","explanation","model"
2,". > .","A because B",0.00489577845978227
2,"> > .","A because B",0.0384773602336016
2,"< > .","A because B",0.0747167260231905
2,". > .","B because A",0.00489577845978227
2,"> > .","B because A",0.0747167260231905
2,"< > .","B because A",0.0384773602336016
2,"> . .","C because B",0.00269747335759812
2,"> > .","C because B",0.0702215063198414
2,"> < .","C because B",0.0362111322065054
2,"> . .","B because C",0.0104755038953784
2,"> > .","B because C",0.0606866418592827
2,"> < .","B because C",0.0144320565591607
2,"> > .","C because A",0.0765876857217725
2,". . .","C because A",0.00502787261731052
2,". > .","C because A",0.00727970641396993
2,"> . .","C because A",0.00502787261731009
2,"> . <","C because A",0.0394795796422915
2,". > <","C because A",0.0428358721359667
2,". . <","C because A",0.0394795796422868
2,". > >","C because A",0.0100414689011683
2,"> . >","C because A",0.0765876857217725
2,". . >","C because A",0.0765876857217661
2,"> > .","A because C",0.0234860278000439
2,". . .","A because C",0.00570745024296477
2,". > .","A because C",0.00336275012146894
2,"> . .","A because C",0.00570745024296444
2,"> . <","A because C",0.0861024293250068
2,". > <","A because C",0.0861024293250068
2,". . <","A because C",0.0861024293249987
2,". > >","A because C",0.0447708168009079
2,"> . >","A because C",0.0446069562190842
2,". . >","A because C",0.0446069562190776
2,". < .","C because B",0.0360774167352432
2,". < .","B because C",0.106932336687125
