"story.number","actual.world","explanation","model"
2,". > .","A because B",0.000110490993074825
2,"> > .","A because B",0.0987511017746776
2,"< > .","A because B",0.579470931140469
2,". > .","B because A",0.000110490993074811
2,"> > .","B because A",0.579470931140473
2,"< > .","B because A",0.0987511017746808
2,"> . .","C because B",6.75402527615047e-05
2,"> > .","C because B",0.525839965032247
2,"> < .","C because B",0.0965459880070644
2,"> . .","B because C",0.0015734691302705
2,"> > .","B because C",0.204714312803295
2,"> < .","B because C",0.00157346913026985
2,"> > .","C because A",0.600164817891194
2,". . .","C because A",0.000120358422081797
2,". > .","C because A",0.00138252418554225
2,"> . .","C because A",0.000120358422081659
2,"> . <","C because A",0.106630669567968
2,". > <","C because A",0.184425213155642
2,". . <","C because A",0.106630669567871
2,". > >","C because A",0.00138252418554028
2,"> . >","C because A",0.600164817891194
2,". . >","C because A",0.60016481789117
2,"> > .","A because C",0.017157637470774
2,". . .","A because C",0.000122719827507437
2,". > .","A because C",9.3207678923958e-05
2,"> . .","A because C",0.000122719827507389
2,"> . <","A because C",0.60481868847933
2,". > <","A because C",0.60481868847933
2,". . <","A because C",0.604818688479294
2,". > >","A because C",0.128523880876307
2,"> . >","A because C",0.108495987261413
2,". . >","A because C",0.108495987261343
2,". < .","C because B",0.0810378376197404
2,". < .","B because C",0.630815054464972
