"story.number","actual.world","explanation","model"
2,". > .","A because B",0.0265719113922831
2,"> > .","A because B",0.0516104804001049
2,"< > .","A because B",0.065506061309707
2,". > .","B because A",0.0265695490254053
2,"> > .","B because A",0.0655004704293848
2,"< > .","B because A",0.0516060100008071
2,"> . .","C because B",0.0252126391728335
2,"> > .","C because B",0.0639087423581672
2,"> < .","C because B",0.0512600722389536
2,"> . .","B because C",0.0340664872357248
2,"> > .","B because C",0.0554514247902959
2,"> < .","B because C",0.0340664872357234
2,"> > .","C because A",0.0659389830987464
2,". . .","C because A",0.0267548889119882
2,". > .","C because A",0.0339058665074019
2,"> . .","C because A",0.0267548889119853
2,"> . <","C because A",0.0519566738103846
2,". > <","C because A",0.0551957373791801
2,". . <","C because A",0.0519566738103796
2,". > >","C because A",0.0339058665073972
2,"> . >","C because A",0.0659389830987464
2,". . >","C because A",0.0659389830987458
2,"> > .","A because C",0.0431316843010304
2,". . .","A because C",0.0267226966050604
2,". > .","A because C",0.0260164316260741
2,"> . .","A because C",0.0267226966050594
2,"> . <","A because C",0.065862833915692
2,". > <","A because C",0.065862833915692
2,". . <","A because C",0.065862833915691
2,". > >","A because C",0.0528492493720551
2,"> . >","A because C",0.0518957748646759
2,". . >","A because C",0.0518957748646723
2,". < .","C because B",0.0503337450724987
2,". < .","B because C",0.066240948078766
