"story.number","actual.world","explanation","model"
2,". > .","A because B",0.000122204487183461
2,"> > .","A because B",0.108089574456877
2,"< > .","A because B",0.603812316262442
2,". > .","B because A",0.000122092935722461
2,"> > .","B because A",0.603593800111086
2,"< > .","B because A",0.108001552900669
2,"> . .","C because B",7.12859992709881e-05
2,"> > .","C because B",0.539276900749805
2,"> < .","C because B",0.101358009971409
2,"> . .","B because C",0.00158148411360858
2,"> > .","B because C",0.205544067636157
2,"> < .","B because C",0.00158148411360793
2,"> > .","C because A",0.62054933281293
2,". . .","C because A",0.000131130365408011
2,". > .","C because A",0.00150608839240824
2,"> . .","C because A",0.000131130365407862
2,"> . <","C because A",0.115076885934836
2,". > <","C because A",0.197670086384871
2,". . <","C because A",0.115076885934732
2,". > >","C because A",0.0015060883924061
2,"> . >","C because A",0.62054933281293
2,". . >","C because A",0.620549332812907
2,"> > .","A because C",0.0180910864545098
2,". . .","A because C",0.000129518441454779
2,". > .","A because C",9.83714962031209e-05
2,"> . .","A because C",0.000129518441454727
2,"> . <","A because C",0.617632207085053
2,". > <","A because C",0.617632207085053
2,". . <","A because C",0.617632207085013
2,". > >","A because C",0.134685850227555
2,"> . >","A because C",0.113823150121224
2,". . >","A because C",0.11382315012115
2,". < .","C because B",0.0851497562714945
2,". < .","B because C",0.631999410653993
