"story.number","actual.world","explanation","model"
2,". > .","A because B",0.00488683170584904
2,"> > .","A because B",0.0384094137892815
2,"< > .","A because B",0.074589749508652
2,". > .","B because A",0.00488683170584904
2,"> > .","B because A",0.074589749508652
2,"< > .","B because A",0.0384094137892815
2,"> . .","C because B",0.00268843937391831
2,"> > .","C because B",0.0700022039397905
2,"> < .","C because B",0.0360939212776624
2,"> . .","B because C",0.0104532778816882
2,"> > .","B because C",0.0605644026677195
2,"> < .","B because C",0.0144015580520869
2,"> > .","C because A",0.0764490530373136
2,". . .","C because A",0.00501806766943589
2,". > .","C because A",0.00726554218985536
2,"> . .","C because A",0.00501806766943585
2,"> . <","C because A",0.0394052505966193
2,". > <","C because A",0.0427555054020092
2,". . <","C because A",0.0394052505966188
2,". > >","C because A",0.0100219853271383
2,"> . >","C because A",0.0764490530373136
2,". . >","C because A",0.0764490530373135
2,"> > .","A because C",0.0234256440844605
2,". . .","A because C",0.00569250965146736
2,". > .","A because C",0.00335392662932206
2,"> . .","A because C",0.00569250965146744
2,"> . <","A because C",0.0858952166425336
2,". > <","A because C",0.0858952166425336
2,". . <","A because C",0.0858952166425342
2,". > >","A because C",0.0446582115249572
2,"> . >","A because C",0.0444947438796536
2,". . >","A because C",0.0444947438796526
2,". < .","C because B",0.0359606224774745
2,". < .","B because C",0.106727530365869
