"story.number","actual.world","explanation","model"
2,". > .","A because B",0.365812661468907
2,"> > .","A because B",0.534869720262122
2,"< > .","A because B",0.596976709197316
2,". > .","B because A",0.365746072435024
2,"> > .","B because A",0.596907646622977
2,"< > .","B because A",0.534798308440205
2,"> . .","C because B",0.346806208780244
2,"> > .","C because B",0.583585404793162
2,"> < .","C because B",0.525862807821834
2,"> . .","B because C",0.417423807764874
2,"> > .","B because C",0.543942148575674
2,"> < .","B because C",0.417423807764869
2,"> > .","C because A",0.595992653576859
2,". . .","C because A",0.364864684052745
2,". > .","C because A",0.423098630104704
2,"> . .","C because A",0.364864684052721
2,"> . <","C because A",0.533852431065614
2,". > <","C because A",0.549713993408248
2,". . <","C because A",0.533852431065593
2,". > >","C because A",0.423098630104675
2,"> . >","C because A",0.595992653576859
2,". . >","C because A",0.59599265357686
2,"> > .","A because C",0.483248441922289
2,". . .","A because C",0.362904656179859
2,". > .","A because C",0.35656843007052
2,"> . .","A because C",0.362904656179853
2,"> . <","A because C",0.593952118132514
2,". > <","A because C",0.593952118132514
2,". . <","A because C",0.593952118132513
2,". > >","A because C",0.536525280339501
2,"> . >","A because C",0.531744628251203
2,". . >","A because C",0.531744628251189
2,". < .","C because B",0.52107034931013
2,". < .","B because C",0.590371978471222
