"story.number","actual.world","explanation","model"
2,". > .","A because B",0.0849839107307117
2,"> > .","A because B",0.430342572851975
2,"< > .","A because B",0.60386570061108
2,". > .","B because A",0.0849839107307117
2,"> > .","B because A",0.60386570061108
2,"< > .","B because A",0.430342572851975
2,"> . .","C because B",0.0459314788140094
2,"> > .","C because B",0.573430653574463
2,"> < .","C because B",0.400747415876915
2,"> . .","B because C",0.165365566601404
2,"> > .","B because C",0.547338831280701
2,"> < .","B because C",0.21510621393854
2,"> > .","C because A",0.609272904903758
2,". . .","C because A",0.0867625149931702
2,". > .","C because A",0.121163081295382
2,"> . .","C because A",0.0867625149931697
2,"> . <","C because A",0.435905775148663
2,". > <","C because A",0.456931366076571
2,". . <","C because A",0.435905775148661
2,". > >","C because A",0.160159316152518
2,"> . >","C because A",0.609272904903758
2,". . >","C because A",0.609272904903758
2,"> > .","A because C",0.307983866372544
2,". . .","A because C",0.0960211406980518
2,". > .","A because C",0.0587672221671005
2,"> . .","A because C",0.0960211406980529
2,"> . <","A because C",0.635489598113319
2,". > <","A because C",0.635489598113319
2,". . <","A because C",0.63548959811332
2,". > >","A because C",0.464466683930581
2,"> . >","A because C",0.463512104888955
2,". . >","A because C",0.463512104888949
2,". < .","C because B",0.399826022063048
2,". < .","B because C",0.691445026073892
