"story.number","actual.world","explanation","model"
2,". > .","A because B",0.00433496142317302
2,"> > .","A because B",0.0342019501544432
2,"< > .","A because B",0.0666938860880475
2,". > .","B because A",0.00433072784000326
2,"> > .","B because A",0.0666328275642489
2,"< > .","B because A",0.0341695490720787
2,"> . .","C because B",0.00229896088690813
2,"> > .","C because B",0.060451981282941
2,"> < .","C because B",0.031015441522895
2,"> . .","B because C",0.00904106387458617
2,"> > .","B because C",0.0527431275271234
2,"> < .","B because C",0.0124626582474531
2,"> > .","C because A",0.0678349996008181
2,". . .","C because A",0.00441417761717942
2,". > .","C because A",0.00639292178449779
2,"> . .","C because A",0.00441417761717934
2,"> . <","C because A",0.0348078692984908
2,". > <","C because A",0.0377826263421092
2,". . <","C because A",0.0348078692984901
2,". > >","C because A",0.00882124691211951
2,"> . >","C because A",0.067834999600818
2,". . >","C because A",0.0678349996008173
2,"> > .","A because C",0.0195581915092937
2,". . .","A because C",0.00473850033952819
2,". > .","A because C",0.00279074109165314
2,"> . .","A because C",0.00473850033952821
2,"> . <","A because C",0.0724798054898881
2,". > <","A because C",0.0724798054898881
2,". . <","A because C",0.0724798054898882
2,". > >","A because C",0.0374196889272709
2,"> . >","A because C",0.0372816832961184
2,". . >","A because C",0.0372816832961171
2,". < .","C because B",0.0309002968558009
2,". < .","B because C",0.0935383361745598
