"story.number","actual.world","explanation","model"
2,". > .","A because B",0.031368150119515
2,"> > .","A because B",0.0374273830577408
2,"< > .","A because B",0.0401419393529025
2,". > .","B because A",0.031368150119515
2,"> > .","B because A",0.0401494128772888
2,"< > .","B because A",0.0374204162196241
2,"> . .","C because B",0.0293264316883393
2,"> > .","C because B",0.0395650037537937
2,"> < .","C because B",0.0380701560357542
2,"> . .","B because C",0.0336181571386877
2,"> > .","B because C",0.0389567998819736
2,"> < .","B because C",0.0346509917544385
2,"> > .","C because A",0.0401362937711466
2,". . .","C because A",0.0319097304782329
2,". > .","C because A",0.0325468417481258
2,"> . .","C because A",0.0313586413171538
2,"> . <","C because A",0.0374146950279417
2,". > <","C because A",0.0377318757563418
2,". . <","C because A",0.0386758251136005
2,". > >","C because A",0.0335485061224027
2,"> . >","C because A",0.0401370057803969
2,". . >","C because A",0.0414909307239023
2,"> > .","A because C",0.0354604925761102
2,". . .","A because C",0.0323168714378422
2,". > .","A because C",0.0301138732962146
2,"> . .","A because C",0.0317587508488411
2,"> . <","A because C",0.0406479006895235
2,". > <","A because C",0.0406451545053656
2,". . <","A because C",0.0420180118300834
2,". > >","A because C",0.0390944061181581
2,"> . >","A because C",0.0378932110626625
2,". . >","A because C",0.0391714470110029
2,". < .","C because B",0.0381407577110276
2,". < .","B because C",0.0428494572104569
