"story.number","actual.world","explanation","model"
2,". > .","A because B",0.48619768477293
2,"> > .","A because B",0.503442340791738
2,"< > .","A because B",0.509770603228547
2,". > .","B because A",0.48619768477293
2,"> > .","B because A",0.509770603228547
2,"< > .","B because A",0.503442340791738
2,"> . .","C because B",0.484686639405825
2,"> > .","C because B",0.508946322067594
2,"> < .","C because B",0.503098092862316
2,"> . .","B because C",0.492327998680086
2,"> > .","B because C",0.505066752452951
2,"> < .","B because C",0.492327998680086
2,"> > .","C because A",0.509781431211369
2,". . .","C because A",0.486208508648903
2,". > .","C because A",0.492311753448163
2,"> . .","C because A",0.4862085086489
2,"> . <","C because A",0.50345317240044
2,". > <","C because A",0.505050505050506
2,". . <","C because A",0.503453172400437
2,". > >","C because A",0.49231175344816
2,"> . >","C because A",0.509781431211369
2,". . >","C because A",0.509781431211369
2,"> > .","A because C",0.498744988101835
2,". . .","A because C",0.486354678157464
2,". > .","A because C",0.485667458273405
2,"> . .","A because C",0.486354678157464
2,"> . <","A because C",0.509927654014088
2,". > <","A because C",0.509927654014088
2,". . <","A because C",0.509927654014088
2,". > >","A because C",0.504079723933305
2,"> . >","A because C",0.50359944474933
2,". . >","A because C",0.503599444749329
2,". < .","C because B",0.50261780104712
2,". < .","B because C",0.509797674048112
