"story.number","actual.world","explanation","model"
2,". > .","A because B",0.0278820422523807
2,"> > .","A because B",0.0540865464141065
2,"< > .","A because B",0.0686005605096302
2,". > .","B because A",0.0278820422523799
2,"> > .","B because A",0.0686005605096312
2,"< > .","B because A",0.0540865464141073
2,"> . .","C because B",0.0262850735924954
2,"> > .","C because B",0.0665148257241625
2,"> < .","C because B",0.0533797780955996
2,"> . .","B because C",0.0353506309047943
2,"> > .","B because C",0.057493697571821
2,"> < .","B because C",0.0353506309047866
2,"> > .","C because A",0.0686210185407709
2,". . .","C because A",0.027890720847102
2,". > .","C because A",0.0353342589297107
2,"> . .","C because A",0.0278907208470969
2,"> . <","C because A",0.054102927506918
2,". > <","C because A",0.0574676813910617
2,". . <","C because A",0.0541029275069074
2,". > >","C because A",0.0353342589296994
2,"> . >","C because A",0.0686210185407709
2,". . >","C because A",0.0686210185407609
2,"> > .","A because C",0.0452383144300289
2,". . .","A because C",0.0280513768586951
2,". > .","A because C",0.027310981041751
2,"> . .","A because C",0.0280513768586922
2,"> . <","A because C",0.0689996362677771
2,". > <","A because C",0.0689996362677771
2,". . <","A because C",0.0689996362677681
2,". > >","A because C",0.0554030222243986
2,"> . >","A because C",0.0544061206331764
2,". . >","A because C",0.0544061206331666
2,". < .","C because B",0.052417261812097
2,". < .","B because C",0.0686517161732061
